Year,Month,DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,CRSDepTime,DepDelay,DepDel15,CRSArrTime,ArrDelay,ArrDel15,Cancelled
2013,4,20,6,DL,10397,10792,810,-3.0,0.0,1017,-23.0,0,0
2013,4,20,6,DL,10792,10397,1057,-1.0,0.0,1257,2.0,0,0
2013,4,20,6,DL,14492,11433,931,-5.0,0.0,1123,-19.0,0,0
2013,4,20,6,DL,11433,10397,1210,-4.0,0.0,1412,-8.0,0,0
2013,4,20,6,DL,10397,15376,1920,-1.0,0.0,2029,-10.0,0,0
2013,4,20,6,DL,13487,10397,1000,-2.0,0.0,1327,-17.0,0,0
2013,4,20,6,DL,10397,11066,1951,-3.0,0.0,2128,-17.0,0,0
2013,4,20,6,DL,12953,11433,1109,-2.0,0.0,1314,-23.0,0,0
2013,4,18,4,DL,10397,11697,1725,9.0,0.0,1923,-12.0,0,0
2013,4,18,4,DL,11433,13204,735,-3.0,0.0,1013,-14.0,0,0
2013,4,18,4,DL,11433,13303,1948,103.0,1.0,2253,90.0,1,0
2013,4,18,4,DL,14635,10397,700,-3.0,0.0,852,-6.0,0,0
2013,4,18,4,DL,12953,11433,1635,31.0,1.0,1850,24.0,1,0
2013,4,18,4,DL,15304,10397,530,-5.0,0.0,659,-16.0,0,0
2013,4,18,4,DL,10397,15304,2255,10.0,0.0,20,4.0,0,0
2013,4,18,4,DL,11433,13487,1725,292.0,1.0,1825,293.0,1,0
2013,4,18,4,DL,10397,14100,1353,1.0,0.0,1606,-11.0,0,0
2013,4,18,4,DL,14100,10397,1646,-2.0,0.0,1859,-14.0,0,0
2013,4,18,4,DL,13487,14747,1507,25.0,1.0,1645,117.0,1,0
2013,4,18,4,DL,14747,12173,1800,129.0,1.0,2109,109.0,1,0
2013,4,18,4,DL,10397,11278,1320,-3.0,0.0,1503,-15.0,0,0
2013,4,18,4,DL,11618,11433,855,-8.0,0.0,1109,-6.0,0,0
2013,4,18,4,DL,14771,12478,2115,-2.0,0.0,545,12.0,0,0
2013,4,18,4,DL,14869,12892,1501,28.0,1.0,1557,14.0,0,0
2013,4,18,4,DL,10397,11618,1750,76.0,1.0,2018,61.0,1,0
2013,4,18,4,DL,13487,15304,1000,0.0,0.0,1410,-7.0,0,0
2013,4,18,4,DL,11433,11278,1230,-8.0,0.0,1400,-5.0,0,0
2013,4,18,4,DL,12173,14747,2105,1.0,0.0,544,-6.0,0,0
2013,4,18,4,DL,12953,10397,1359,-6.0,0.0,1629,-11.0,0,0
2013,4,18,4,DL,11433,12953,1551,184.0,1.0,1740,185.0,1,0
2013,4,18,4,DL,10397,12266,2200,57.0,1.0,2316,59.0,1,0
2013,4,18,4,DL,10397,11057,906,2.0,0.0,1035,7.0,0,0
2013,4,18,4,DL,11057,10397,1115,12.0,0.0,1229,-4.0,0,0
2013,4,18,4,DL,10397,12892,1945,10.0,0.0,2155,51.0,1,0
2013,4,18,4,DL,14908,14869,1325,-2.0,0.0,1608,3.0,0,0
2013,4,18,4,DL,14057,12478,700,-1.0,0.0,1515,25.0,1,0
2013,4,18,4,DL,13487,14869,1115,57.0,1.0,1307,58.0,1,0
2013,4,18,4,DL,13487,13342,1510,138.0,1.0,1622,181.0,1,0
2013,4,18,4,DL,13342,13487,1705,213.0,1.0,1823,221.0,1,0
2013,4,18,4,DL,12892,12478,1330,49.0,1.0,2145,85.0,1,0
2013,4,18,4,DL,11433,13342,1956,183.0,1.0,2011,176.0,1,0
2013,4,18,4,DL,13204,13244,1746,3.0,0.0,1900,-6.0,0,0
2013,4,18,4,DL,14730,10397,729,0.0,0.0,854,-16.0,0,0
2013,4,18,4,DL,10397,11292,1755,0.0,0.0,1922,-8.0,0,0
2013,4,18,4,DL,10397,14679,1059,-2.0,0.0,1254,14.0,0,0
2013,4,18,4,DL,14679,10397,1350,18.0,1.0,2100,3.0,0,0
2013,4,18,4,DL,12892,13487,57,5.0,0.0,630,-4.0,0,0
2013,4,18,4,DL,10397,13204,1150,-1.0,0.0,1319,-11.0,0,0
